task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	be/492e4d	16195079	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-21 10:31:27.992	1m 10s	10.6s	74.0%	2.6 GB	2.9 GB	25.8 MB	1.1 MB
3	b9/ac3a78	16195108	preprocessing (preprocessing)	COMPLETED	0	2026-06-21 10:32:37.988	1h 36m 30s	1h 2m 37s	1393.8%	13.4 GB	63.4 GB	48.8 GB	46.4 GB
2	67/cc240e	16195103	preprocessing (preprocessing)	COMPLETED	0	2026-06-21 10:32:37.857	1h 43m 20s	1h 42m 30s	1430.1%	14.5 GB	64.5 GB	65.1 GB	62.5 GB
6	cc/7203d5	16199382	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-21 12:09:07.750	41m 10s	40m 35s	300.8%	52.4 GB	72.1 GB	332.7 MB	2.1 GB
7	bb/a277c0	16199581	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-21 12:15:57.749	35m 40s	35m 10s	197.6%	63.7 GB	86.4 GB	264.5 MB	1.5 GB
4	73/5925f9	16195112	preprocessing (preprocessing)	COMPLETED	0	2026-06-21 10:32:38.245	3h 19m 15s	1h 40m 57s	1435.0%	15.8 GB	64.7 GB	81.7 GB	79.2 GB
8	5e/8cf8c2	16204390	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-21 13:51:52.938	1h 4m 10s	1h 3m 30s	379.5%	63.7 GB	108.7 GB	605.2 MB	4.3 GB
10	cc/90273b	16208115	postprocessing (postprocessing)	FAILED	1	2026-06-21 14:56:03.180	7m 5s	6m 30s	-	-	-	-	-
5	2d/134aea	16195110	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-06-21 10:32:38.119	-	-	-	-	-	-	-
9	c4/04e1e8	16208114	postprocessing (postprocessing)	ABORTED	-	2026-06-21 14:56:03.076	-	-	-	-	-	-	-
11	8d/16d258	16208116	postprocessing (postprocessing)	ABORTED	-	2026-06-21 14:56:03.263	-	-	-	-	-	-	-
