task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	03/3a2aa9	16336632	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-22 22:48:47.860	3m 9s	14.9s	29.6%	75.3 MB	403.5 MB	20.5 MB	1.2 MB
3	c2/eac3fd	16336734	preprocessing (preprocessing)	COMPLETED	0	2026-06-22 22:51:57.554	25m 10s	21m 36s	711.7%	17.2 GB	60.8 GB	165.6 GB	89.7 GB
5	01/726e09	16336739	preprocessing (preprocessing)	COMPLETED	0	2026-06-22 22:51:57.755	31m 19s	12m 34s	763.3%	20.6 GB	59.5 GB	43.8 GB	25.2 GB
4	8a/92d72c	16336737	preprocessing (preprocessing)	COMPLETED	0	2026-06-22 22:51:57.663	34m 14s	15m 40s	1098.5%	21 GB	59.5 GB	43.8 GB	25.2 GB
2	31/279862	16336743	nwb_ecephys (nwb-ecephys)	FAILED	1	2026-06-22 22:51:57.945	34m 14s	30s	-	-	-	-	-
7	ee/c335e2	16336741	preprocessing (preprocessing)	ABORTED	-	2026-06-22 22:51:57.852	-	-	-	-	-	-	-
6	b8/0a7fe0	16336746	preprocessing (preprocessing)	ABORTED	-	2026-06-22 22:51:58.113	-	-	-	-	-	-	-
8	90/361863	16337636	spikesort_kilosort4 (spikesort-kilosort4)	ABORTED	-	2026-06-22 23:17:07.299	-	-	-	-	-	-	-
9	fc/8e3af4	16337799	spikesort_kilosort4 (spikesort-kilosort4)	ABORTED	-	2026-06-22 23:23:17.367	-	-	-	-	-	-	-
10	52/223d25	16337933	spikesort_kilosort4 (spikesort-kilosort4)	SUBMITTED	-	2026-06-22 23:26:12.363	-	-	-	-	-	-	-
