task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	61/ac9159	15878543	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-11 15:17:12.603	1m 9s	1.9s	38.3%	69.1 MB	189.7 MB	19.5 MB	602.7 KB
3	9a/3b97a7	15878570	preprocessing (preprocessing)	FAILED	1	2026-06-11 15:18:23.260	38.4s	38ms	-	-	-	-	-
4	3d/ded412	15878571	preprocessing (preprocessing)	FAILED	1	2026-06-11 15:18:23.372	38.3s	3ms	-	-	-	-	-
2	45/bc1212	15878568	preprocessing (preprocessing)	FAILED	1	2026-06-11 15:18:22.995	38.6s	3ms	-	-	-	-	-
5	fb/7ed71f	15878572	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-06-11 15:18:23.468	-	-	-	-	-	-	-
7	5a/ffede8	15878573	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:24.520	-	-	-	-	-	-	-
6	4a/ac136e	15878575	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:24.614	-	-	-	-	-	-	-
9	60/035ccd	15878576	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:24.701	-	-	-	-	-	-	-
8	e7/506208	15878577	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:24.790	-	-	-	-	-	-	-
10	fe/294fd6	15878578	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:24.893	-	-	-	-	-	-	-
11	2e/9a5591	15878579	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:24.980	-	-	-	-	-	-	-
12	84/e4e238	15878583	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:18:26.210	-	-	-	-	-	-	-
