task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b6/bf838a	15879212	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-11 15:46:03.656	1m 10s	1.5s	93.8%	54.3 MB	373.8 MB	19.5 MB	603.5 KB
2	d5/64ffe8	15879251	preprocessing (preprocessing)	FAILED	1	2026-06-11 15:47:13.562	2m	3ms	-	-	-	-	-
3	cc/0f1cd7	15879253	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:13.693	-	-	-	-	-	-	-
6	9e/6e6236	15879254	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:13.821	-	-	-	-	-	-	-
4	81/70e726	15879255	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:13.949	-	-	-	-	-	-	-
5	8e/49a904	15879256	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-06-11 15:47:14.063	-	-	-	-	-	-	-
8	51/8e3e91	15879257	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:14.178	-	-	-	-	-	-	-
7	e4/3adb82	15879258	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:14.273	-	-	-	-	-	-	-
9	3e/e680a4	15879259	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:14.363	-	-	-	-	-	-	-
10	ba/26586b	15879260	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:14.442	-	-	-	-	-	-	-
11	16/a56863	15879261	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:14.522	-	-	-	-	-	-	-
12	ee/95a0fc	15879262	preprocessing (preprocessing)	ABORTED	-	2026-06-11 15:47:14.605	-	-	-	-	-	-	-
