task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	fe/60fc42	16397305	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-23 14:32:39.168	3m 34s	49.4s	7.1%	98.8 MB	425.2 MB	28.3 MB	1.1 MB
3	be/c92ccd	16397534	preprocessing (preprocessing)	COMPLETED	0	2026-06-23 14:36:14.115	1h 11m 29s	1h 8m 56s	873.5%	14.4 GB	64.4 GB	66.2 GB	63.7 GB
4	e1/8e2be9	16397536	preprocessing (preprocessing)	COMPLETED	0	2026-06-23 14:36:14.292	2h 33m 19s	1h 47m 9s	423.2%	15.9 GB	63.5 GB	86.1 GB	83.4 GB
5	d1/85ff86	16397537	preprocessing (preprocessing)	COMPLETED	0	2026-06-23 14:36:14.398	2h 39m 39s	1h 27m 47s	447.0%	14.2 GB	64.3 GB	60.9 GB	58.6 GB
6	85/91e12a	16402982	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-23 15:47:43.745	2h 17m 55s	2h 16m 4s	152.6%	63.7 GB	97.9 GB	518.9 MB	3.6 GB
8	cd/acea06	16410078	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-23 17:15:53.965	2h 13m 30s	1h 18m 37s	280.2%	63.7 GB	88.3 GB	589.8 MB	4.2 GB
7	4a/ab2254	16409823	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-06-23 17:09:34.071	3h 28m 5s	2h 29m 55s	104.0%	63.7 GB	111 GB	506.8 MB	3.5 GB
10	ff/f8cced	16423661	postprocessing (postprocessing)	FAILED	1	2026-06-23 20:37:39.539	46m 45s	45m 45s	-	-	-	-	-
2	99/8de663	16397535	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-06-23 14:36:14.204	-	-	-	-	-	-	-
9	86/c0c2bf	16423660	postprocessing (postprocessing)	ABORTED	-	2026-06-23 20:37:39.392	-	-	-	-	-	-	-
11	5f/8f0fc7	16423662	postprocessing (postprocessing)	ABORTED	-	2026-06-23 20:37:39.623	-	-	-	-	-	-	-
