task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5c/5da7c7	15565995	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-07 08:04:11.747	2m 4s	1m 37s	84.7%	19.4 GB	20.3 GB	19.9 MB	1.1 MB
2	3b/67c56c	15566069	preprocessing (preprocessing)	COMPLETED	0	2026-06-07 08:06:16.735	17m 10s	16m 49s	643.6%	65.1 GB	78.1 GB	170.7 GB	26.7 GB
3	80/7ffc9e	15566068	preprocessing (preprocessing)	FAILED	137	2026-06-07 08:06:16.633	29m 5s	28m 30s	-	-	-	-	-
5	6c/49cff2	15566070	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-06-07 08:06:16.827	-	-	-	-	-	-	-
4	30/390b78	15566071	preprocessing (preprocessing)	ABORTED	-	2026-06-07 08:06:16.935	-	-	-	-	-	-	-
7	da/50da00	15566072	preprocessing (preprocessing)	ABORTED	-	2026-06-07 08:06:17.056	-	-	-	-	-	-	-
8	33/445859	15566073	preprocessing (preprocessing)	ABORTED	-	2026-06-07 08:06:17.146	-	-	-	-	-	-	-
6	13/a122ba	15566074	preprocessing (preprocessing)	ABORTED	-	2026-06-07 08:06:17.229	-	-	-	-	-	-	-
9	cd/ecdc0c	15566075	preprocessing (preprocessing)	ABORTED	-	2026-06-07 08:06:17.322	-	-	-	-	-	-	-
10	a2/f16882	15566076	preprocessing (preprocessing)	ABORTED	-	2026-06-07 08:06:17.414	-	-	-	-	-	-	-
11	a0/9476d9	15566410	spikesort_kilosort4 (spikesort-kilosort4)	ABORTED	-	2026-06-07 08:23:26.439	-	-	-	-	-	-	-
