task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	40/8007ec	18892302	job_dispatch (job-dispatch)	COMPLETED	0	2026-07-26 03:03:52.876	2m 35s	33.2s	11.7%	10.1 GB	11 GB	19.9 MB	1.1 MB
6	bb/df5bbe	18892389	preprocessing (preprocessing)	FAILED	137	2026-07-26 03:06:32.707	1h 39m 41s	1h 37m 6s	-	-	-	-	-
2	c3/4f89f4	18892387	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:32.501	-	-	-	-	-	-	-
3	f9/001b37	18892388	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:32.619	-	-	-	-	-	-	-
4	d2/28b1fb	18892390	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:32.806	-	-	-	-	-	-	-
5	ce/fc409d	18892391	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-07-26 03:06:32.891	-	-	-	-	-	-	-
8	9d/63f38e	18892392	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:32.991	-	-	-	-	-	-	-
7	66/f0323c	18892393	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:33.238	-	-	-	-	-	-	-
10	66/df09ff	18892394	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:33.326	-	-	-	-	-	-	-
9	c4/edeab6	18892395	preprocessing (preprocessing)	ABORTED	-	2026-07-26 03:06:33.412	-	-	-	-	-	-	-
