task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	94/b11f42	15871544	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-11 13:01:01.881	1m 10s	2.7s	33.9%	82.2 MB	204.1 MB	19.4 MB	638.2 KB
5	5c/ff406c	15871673	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-06-11 13:02:11.976	1m 34s	32.2s	425.5%	3.6 GB	41.7 GB	73 GB	28.4 MB
3	c9/bb09c8	15871671	preprocessing (preprocessing)	FAILED	1	2026-06-11 13:02:11.887	1m 34s	34.9s	-	-	-	-	-
6	4a/842d91	15871675	preprocessing (preprocessing)	FAILED	1	2026-06-11 13:02:12.189	1m 34s	34.9s	-	-	-	-	-
2	3f/d61229	15871670	preprocessing (preprocessing)	FAILED	1	2026-06-11 13:02:11.761	1m 35s	34.9s	-	-	-	-	-
4	78/6b81f3	15871674	preprocessing (preprocessing)	FAILED	1	2026-06-11 13:02:12.083	1m 34s	34.9s	-	-	-	-	-
7	99/a3161c	15871676	preprocessing (preprocessing)	ABORTED	-	2026-06-11 13:02:12.277	-	-	-	-	-	-	-
9	32/9bebc4	15871677	preprocessing (preprocessing)	ABORTED	-	2026-06-11 13:02:12.358	-	-	-	-	-	-	-
8	f4/5a0c68	15871678	preprocessing (preprocessing)	ABORTED	-	2026-06-11 13:02:12.444	-	-	-	-	-	-	-
10	f4/55df25	15871679	preprocessing (preprocessing)	ABORTED	-	2026-06-11 13:02:12.543	-	-	-	-	-	-	-
