task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	87/58fce5	15880308	job_dispatch (job-dispatch)	COMPLETED	0	2026-06-11 16:02:37.625	34.4s	3.1s	73.4%	193 MB	525.1 MB	19.6 MB	633.6 KB
3	56/f6941a	15880337	preprocessing (preprocessing)	FAILED	1	2026-06-11 16:03:12.348	3m 5s	30s	-	-	-	-	-
2	c0/561526	15880338	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-06-11 16:03:12.491	-	-	-	-	-	-	-
4	63/af7edc	15880339	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:12.619	-	-	-	-	-	-	-
5	7c/53d42a	15880340	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:12.745	-	-	-	-	-	-	-
7	ba/4d63dd	15880341	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:12.868	-	-	-	-	-	-	-
6	ed/cb358b	15880342	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:12.956	-	-	-	-	-	-	-
8	4a/b0bfe8	15880343	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.177	-	-	-	-	-	-	-
9	8d/92cc8b	15880344	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.306	-	-	-	-	-	-	-
10	5a/1695fc	15880345	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.433	-	-	-	-	-	-	-
11	e5/623b3d	15880346	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.524	-	-	-	-	-	-	-
13	6f/5cc185	15880347	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.610	-	-	-	-	-	-	-
12	bd/30f7f5	15880348	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.691	-	-	-	-	-	-	-
14	e7/a8d293	15880349	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.771	-	-	-	-	-	-	-
16	7b/9fa9e1	15880350	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.860	-	-	-	-	-	-	-
15	f2/8e4cc8	15880351	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:13.942	-	-	-	-	-	-	-
17	59/62be12	15880352	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.031	-	-	-	-	-	-	-
19	06/151d67	15880353	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.119	-	-	-	-	-	-	-
20	0b/185a18	15880354	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.212	-	-	-	-	-	-	-
21	16/f8e301	15880355	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.292	-	-	-	-	-	-	-
22	dc/7d3d4e	15880356	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.387	-	-	-	-	-	-	-
18	19/ae89f6	15880357	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.471	-	-	-	-	-	-	-
24	1a/c88c8e	15880358	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.552	-	-	-	-	-	-	-
23	de/3eb7b1	15880359	preprocessing (preprocessing)	ABORTED	-	2026-06-11 16:03:14.631	-	-	-	-	-	-	-
